title,genre,mood,instruments,download_url
Wise,락,슬픔,"['Drums', 'Synth', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=060e9c49b61058be
Sailing,힙합 & 랩,슬픔,"['piano', 'bass', 'synth', 'strings', 'vocal chops', 'drums', 'brass']",https://www.youtube.com/audiolibrary_download?vid=4f6edf81b34f2a67
Sao Meo,잔잔한 음악,슬픔,"['Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=5afa7f5057f10f09
Hon Kyoku,잔잔한 음악,슬픔,['Synth'],https://www.youtube.com/audiolibrary_download?vid=0f90a6edd28cd7df
Yiddish Sadness,영화음악,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=75591bcb441ee463
Late Night Train,락,슬픔,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=9098c884d918345f
Freedom,락,슬픔,"['electric guitar', 'acoustic guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=5395367c86fc913c
Where Are My Clothes,영화음악,슬픔,['Synth'],https://www.youtube.com/audiolibrary_download?vid=c619640796d15296
Thinking Back,영화음악,슬픔,"['Piano', 'Synth', 'Strings', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=09bbd0f7024acf86
AnalogueCabin,잔잔한 음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=3d511141e94b9fe5
